rgl,gr,breidd,lengd,name,gid6,allyear,d1,d2,t1,t2
2019_0960,2,632677,252325,Á 'Mehlsack',TRUE,FALSE,2021-02-01,2021-04-15,,
2019_0960,2,630650,244430,Á 'Mehlsack',TRUE,FALSE,2021-02-01,2021-04-15,,
2019_0960,2,630336,245551,Á 'Mehlsack',TRUE,FALSE,2021-02-01,2021-04-15,,
2019_0960,2,631900,253200,Á 'Mehlsack',TRUE,FALSE,2021-02-01,2021-04-15,,
2019_0960,2,632195,253965,Á 'Mehlsack',TRUE,FALSE,2021-02-01,2021-04-15,,
2019_0960,3,641000,253700,Í Jökuldýpi,TRUE,FALSE,2021-10-01,2022-04-01,20:00:00,08:00:00
2019_0960,3,635300,250700,Í Jökuldýpi,TRUE,FALSE,2021-10-01,2022-04-01,20:00:00,08:00:00
2019_0960,3,635000,254000,Í Jökuldýpi,TRUE,FALSE,2021-10-01,2022-04-01,20:00:00,08:00:00
2019_0960,3,635000,260900,Í Jökuldýpi,TRUE,FALSE,2021-10-01,2022-04-01,20:00:00,08:00:00
2019_0960,3,635300,261300,Í Jökuldýpi,TRUE,FALSE,2021-10-01,2022-04-01,20:00:00,08:00:00
2019_0960,3,640050,260766,Í Jökuldýpi,TRUE,FALSE,2021-10-01,2022-04-01,20:00:00,08:00:00
2019_0960,4,642970,243300,Suðvestur af Malarrifi,TRUE,TRUE,,,,
2019_0960,4,643080,242640,Suðvestur af Malarrifi,TRUE,TRUE,,,,
2019_0960,4,643000,242560,Suðvestur af Malarrifi,TRUE,TRUE,,,,
2019_0960,4,642860,243200,Suðvestur af Malarrifi,TRUE,TRUE,,,,
2019_0960,5,660400,262900,Í Víkurál,TRUE,FALSE,2021-01-01,2021-12-31,20:00:00,08:00:00
2019_0960,5,660000,262600,Í Víkurál,TRUE,FALSE,2021-01-01,2021-12-31,20:00:00,08:00:00
2019_0960,5,655700,263300,Í Víkurál,TRUE,FALSE,2021-01-01,2021-12-31,20:00:00,08:00:00
2019_0960,5,654400,263500,Í Víkurál,TRUE,FALSE,2021-01-01,2021-12-31,20:00:00,08:00:00
2019_0960,5,654900,265700,Í Víkurál,TRUE,FALSE,2021-01-01,2021-12-31,20:00:00,08:00:00
2019_0960,5,660000,265000,Í Víkurál,TRUE,FALSE,2021-01-01,2021-12-31,20:00:00,08:00:00
2019_0960,6,663640,232200,Norður af Horni,TRUE,FALSE,2021-08-18,2022-02-28,,
2019_0960,6,664250,234250,Norður af Horni,TRUE,FALSE,2021-08-18,2022-02-28,,
2019_0960,6,665750,220000,Norður af Horni,TRUE,FALSE,2021-08-18,2022-02-28,,
2019_0960,6,670200,220000,Norður af Horni,TRUE,FALSE,2021-08-18,2022-02-28,,
2019_0960,6,670294,214500,Norður af Horni,TRUE,FALSE,2021-08-18,2022-02-28,,
2019_0960,6,662920,214500,Norður af Horni,TRUE,FALSE,2021-08-18,2022-02-28,,
2019_0960,7,663442,202050,Á Sporðagrunni,TRUE,TRUE,,,,
2019_0960,7,663844,201667,Á Sporðagrunni,TRUE,TRUE,,,,
2019_0960,7,664737,195294,Á Sporðagrunni,TRUE,TRUE,,,,
2019_0960,7,665160,192189,Á Sporðagrunni,TRUE,TRUE,,,,
2019_0960,7,663832,192468,Á Sporðagrunni,TRUE,TRUE,,,,
2019_0960,8,662210,193230,Norðan Haganesvíkur,TRUE,TRUE,,,,
2019_0960,8,662699,193294,Norðan Haganesvíkur,TRUE,TRUE,,,,
2019_0960,8,662948,185876,Norðan Haganesvíkur,TRUE,TRUE,,,,
2019_0960,8,662398,185378,Norðan Haganesvíkur,TRUE,TRUE,,,,
2019_0960,9,670700,172400,Á Sléttugrunni,TRUE,TRUE,,,,
2019_0960,9,670700,172000,Á Sléttugrunni,TRUE,TRUE,,,,
2019_0960,9,665100,170400,Á Sléttugrunni,TRUE,TRUE,,,,
2019_0960,9,665100,172000,Á Sléttugrunni,TRUE,TRUE,,,,
2019_0960,10,661200,134800,Á Digranesflaki,TRUE,TRUE,,,,
2019_0960,10,662300,125100,Á Digranesflaki,TRUE,TRUE,,,,
2019_0960,10,661400,124000,Á Digranesflaki,TRUE,TRUE,,,,
2019_0960,10,660300,123680,Á Digranesflaki,TRUE,TRUE,,,,
2019_0960,10,660000,125180,Á Digranesflaki,TRUE,TRUE,,,,
2019_0960,10,655900,133400,Á Digranesflaki,TRUE,TRUE,,,,
2019_0960,11,641100,154250,Við Hrollaugseyjar,TRUE,TRUE,,,,
2019_0960,11,635770,152870,Við Hrollaugseyjar,TRUE,TRUE,,,,
2019_0960,11,635420,154650,Við Hrollaugseyjar,TRUE,TRUE,,,,
2019_0960,11,635400,155900,Við Hrollaugseyjar,TRUE,TRUE,,,,
2019_0960,11,640200,161120,Við Hrollaugseyjar,TRUE,TRUE,,,,
2019_0960,14,633800,203400,Norðvestur af Heimaey,TRUE,TRUE,,,,
2019_0960,14,633070,201850,Norðvestur af Heimaey,TRUE,TRUE,,,,
2019_0960,14,633019,201624,Norðvestur af Heimaey,TRUE,TRUE,,,,
2019_0960,14,632700,202000,Norðvestur af Heimaey,TRUE,TRUE,,,,
2019_0960,14,633200,203400,Norðvestur af Heimaey,TRUE,TRUE,,,,
2019_0960,15,632200,202400,Á Álseyjarbleyðu,TRUE,TRUE,,,,
2019_0960,15,632200,203000,Á Álseyjarbleyðu,TRUE,TRUE,,,,
2019_0960,15,632600,202800,Á Álseyjarbleyðu,TRUE,TRUE,,,,
2019_0960,15,632600,202200,Á Álseyjarbleyðu,TRUE,TRUE,,,,
2019_0960,16,633900,203400,Á Eyrarbakkabug,TRUE,TRUE,,,,
2019_0960,16,633200,203400,Á Eyrarbakkabug,TRUE,TRUE,,,,
2019_0960,16,633500,210000,Á Eyrarbakkabug,TRUE,TRUE,,,,
2019_0960,16,634600,210000,Á Eyrarbakkabug,TRUE,TRUE,,,,
2019_0960,17,631000,220000,Á Tánni,TRUE,FALSE,2021-11-01,2022-07-01,,
2019_0960,17,630920,215550,Á Tánni,TRUE,FALSE,2021-11-01,2022-07-01,,
2019_0960,17,630540,220900,Á Tánni,TRUE,FALSE,2021-11-01,2022-07-01,,
2019_0960,17,630280,222350,Á Tánni,TRUE,FALSE,2021-11-01,2022-07-01,,
2019_0960,17,630300,223100,Á Tánni,TRUE,FALSE,2021-11-01,2022-07-01,,
2019_0960,17,630600,224100,Á Tánni,TRUE,FALSE,2021-11-01,2022-07-01,,
2019_0960,17,630920,224600,Á Tánni,TRUE,FALSE,2021-11-01,2022-07-01,,
2019_0960,17,631100,224200,Á Tánni,TRUE,FALSE,2021-11-01,2022-07-01,,
2019_0960,17,630500,222400,Á Tánni,TRUE,FALSE,2021-11-01,2022-07-01,,
